precinct,date,citation_issued
SW,2014-01-27,33
SW,2014-02-03,13
SW,2014-02-10,20
SW,2014-02-17,28
SW,2014-02-24,21
SW,2014-03-03,28
SW,2014-03-10,27
SW,2014-03-17,24
SW,2014-03-24,21
SW,2014-03-31,22
SW,2014-04-07,24
SW,2014-04-14,29
SW,2014-04-21,17
SW,2014-04-28,30
SW,2014-05-05,28
SW,2014-05-12,25
SW,2014-05-19,47
SW,2014-05-26,18
SW,2014-06-02,34
SW,2014-06-09,27
SW,2014-06-16,24
SW,2014-06-23,51
SW,2014-06-30,34
SW,2014-07-07,58
SW,2014-07-14,31
SW,2014-07-21,30
SW,2014-07-28,36
SW,2014-08-04,57
SW,2014-08-11,22
SW,2014-08-18,43
SW,2014-08-25,32
SW,2014-09-01,22
SW,2014-09-08,31
SW,2014-09-15,32
SW,2014-09-22,26
SW,2014-09-29,47
SW,2014-10-06,39
SW,2014-10-13,31
SW,2014-10-20,40
SW,2014-10-27,21
SW,2014-11-03,35
SW,2014-11-10,30
SW,2014-11-17,29
SW,2014-11-24,14
SW,2014-12-01,15
SW,2014-12-08,20
SW,2014-12-15,27
SW,2014-12-22,18
SW,2014-12-29,11
SW,2015-01-05,18
SW,2015-01-12,44
SW,2015-01-19,14
SW,2015-01-26,20
SW,2015-02-02,33
SW,2015-02-09,29
SW,2015-02-16,24
SW,2015-02-23,24
SW,2015-03-02,34
SW,2015-03-09,41
SW,2015-03-16,28
SW,2015-03-23,25
SW,2015-03-30,34
SW,2015-04-06,13
SW,2015-04-13,23
SW,2015-04-20,22
SW,2015-04-27,23
SW,2015-05-04,10
SW,2015-05-11,20
SW,2015-05-18,16
SW,2015-05-25,18
SW,2015-06-01,16
SW,2015-06-08,24
SW,2015-06-15,21
SW,2015-06-22,17
SW,2015-06-29,17
SW,2015-07-06,17
SW,2015-07-13,19
SW,2015-07-20,15
SW,2015-07-27,13
SW,2015-08-03,21
SW,2015-08-10,24
SW,2015-08-17,16
SW,2015-08-24,15
SW,2015-08-31,12
SW,2015-09-07,23
SW,2015-09-14,19
SW,2015-09-21,16
SW,2015-09-28,11
SW,2015-10-05,23
SW,2015-10-12,37
SW,2015-10-19,20
SW,2015-10-26,21
SW,2015-11-02,24
SW,2015-11-09,19
SW,2015-11-16,25
SW,2015-11-23,28
SW,2015-11-30,18
SW,2015-12-07,19
SW,2015-12-14,29
SW,2015-12-21,19
SW,2015-12-28,18
SW,2016-01-04,10
W,2013-01-07,72
W,2013-01-14,81
W,2013-01-21,75
W,2013-01-28,58
W,2013-02-04,95
W,2013-02-11,102
W,2013-02-18,123
W,2013-02-25,90
W,2013-03-04,87
W,2013-03-11,69
W,2013-03-18,61
W,2013-03-25,77
W,2013-04-01,88
W,2013-04-08,96
W,2013-04-15,87
W,2013-04-22,78
W,2013-04-29,89
W,2013-05-06,88
W,2013-05-13,99
W,2013-05-20,76
W,2013-05-27,84
W,2013-06-03,88
W,2013-06-10,117
W,2013-06-17,97
W,2013-06-24,84
W,2013-07-01,124
W,2013-07-08,141
W,2013-07-15,97
W,2013-07-22,83
W,2013-07-29,101
W,2013-08-05,75
W,2013-08-12,85
W,2013-08-19,74
W,2013-08-26,78
W,2013-09-02,101
W,2013-09-09,93
W,2013-09-16,87
W,2013-09-23,93
W,2013-09-30,126
W,2013-10-07,102
W,2013-10-14,116
W,2013-10-21,141
W,2013-10-28,121
W,2013-11-04,131
W,2013-11-11,100
W,2013-11-18,131
W,2013-11-25,148
W,2013-12-02,95
W,2013-12-09,99
W,2013-12-16,83
W,2013-12-23,104
W,2013-12-30,116
W,2014-01-06,77
W,2014-01-13,96
W,2014-01-20,113
W,2014-01-27,84
W,2014-02-03,95
W,2014-02-10,82
W,2014-02-17,122
W,2014-02-24,82
W,2014-03-03,120
W,2014-03-10,115
W,2014-03-17,123
W,2014-03-24,92
W,2014-03-31,132
W,2014-04-07,86
W,2014-04-14,75
W,2014-04-21,79
W,2014-04-28,87
W,2014-05-05,94
W,2014-05-12,100
W,2014-05-19,48
W,2014-05-26,124
W,2014-06-02,112
W,2014-06-09,62
W,2014-06-16,163
W,2014-06-23,72
W,2014-06-30,113
W,2014-07-07,122
W,2014-07-14,93
W,2014-07-21,71
W,2014-07-28,83
W,2014-08-04,96
W,2014-08-11,102
W,2014-08-18,70
W,2014-08-25,79
W,2014-09-01,82
W,2014-09-08,96
W,2014-09-15,105
W,2014-09-22,126
W,2014-09-29,46
W,2014-10-06,89
W,2014-10-13,99
W,2014-10-20,88
W,2014-10-27,77
W,2014-11-03,96
W,2014-11-10,137
W,2014-11-17,140
W,2014-11-24,142
W,2014-12-01,58
W,2014-12-08,62
W,2014-12-15,62
W,2014-12-22,55
W,2014-12-29,53
W,2015-01-05,82
W,2015-01-12,152
W,2015-01-19,126
W,2015-01-26,117
W,2015-02-02,113
W,2015-02-09,87
W,2015-02-16,93
W,2015-02-23,139
W,2015-03-02,129
W,2015-03-09,124
W,2015-03-16,86
W,2015-03-23,86
W,2015-03-30,97
W,2015-04-06,88
W,2015-04-13,80
W,2015-04-20,116
W,2015-04-27,172
W,2015-05-04,90
W,2015-05-11,111
W,2015-05-18,89
W,2015-05-25,85
W,2015-06-01,121
W,2015-06-08,159
W,2015-06-15,112
W,2015-06-22,96
W,2015-06-29,114
W,2015-07-06,121
