precinct,date,citation_issued
E,2014-05-01,6
E,2014-05-02,6
E,2014-05-03,9
E,2014-05-04,3
E,2014-05-05,9
E,2014-05-06,6
E,2014-05-07,9
E,2014-05-08,10
E,2014-05-09,4
E,2014-05-10,12
E,2014-05-11,5
E,2014-05-12,9
E,2014-05-13,8
E,2014-05-14,14
E,2014-05-15,6
E,2014-05-16,12
E,2014-05-17,5
E,2014-05-18,13
E,2014-05-19,14
E,2014-05-20,6
E,2014-05-21,4
E,2014-05-22,14
E,2014-05-23,18
E,2014-05-24,9
E,2014-05-25,10
E,2014-05-26,11
E,2014-05-27,10
E,2014-05-28,11
E,2014-05-29,9
E,2014-05-30,7
E,2014-05-31,6
E,2014-06-01,3
E,2014-06-02,8
E,2014-06-03,12
E,2014-06-04,9
E,2014-06-05,10
E,2014-06-06,13
E,2014-06-07,5
E,2014-06-08,4
E,2014-06-09,7
E,2014-06-10,5
E,2014-06-11,7
E,2014-06-12,8
E,2014-06-13,24
E,2014-06-14,19
E,2014-06-15,3
E,2014-06-16,7
E,2014-06-17,11
E,2014-06-18,15
E,2014-06-19,7
E,2014-06-20,9
E,2014-06-21,2
E,2014-06-22,5
E,2014-06-23,11
E,2014-06-24,12
E,2014-06-25,9
E,2014-06-26,3
E,2014-06-27,11
E,2014-06-28,18
E,2014-06-29,14
E,2014-06-30,9
E,2014-07-01,14
E,2014-07-02,7
E,2014-07-03,5
E,2014-07-04,8
E,2014-07-05,17
E,2014-07-06,11
E,2014-07-07,15
E,2014-07-08,5
E,2014-07-09,4
E,2014-07-10,11
E,2014-07-11,18
E,2014-07-12,8
E,2014-07-13,7
E,2014-07-14,9
E,2014-07-15,5
E,2014-07-16,2
E,2014-07-17,2
E,2014-07-18,11
E,2014-07-19,16
E,2014-07-20,8
E,2014-07-21,8
E,2014-07-22,7
E,2014-07-23,6
E,2014-07-24,20
E,2014-07-25,9
E,2014-07-26,7
E,2014-07-27,2
E,2014-07-28,5
E,2014-07-29,15
E,2014-07-30,11
E,2014-07-31,10
E,2014-08-01,6
E,2014-08-02,6
E,2014-08-03,8
E,2014-08-04,9
E,2014-08-05,3
E,2014-08-06,11
E,2014-08-07,5
E,2014-08-08,2
E,2014-08-09,7
E,2014-08-10,10
E,2014-08-11,15
E,2014-08-12,9
E,2014-08-13,11
E,2014-08-14,3
E,2014-08-15,7
E,2014-08-16,10
E,2014-08-17,5
E,2014-08-18,8
E,2014-08-19,2
E,2014-08-20,15
E,2014-08-21,22
E,2014-08-22,18
E,2014-08-23,16
E,2014-08-24,7
E,2014-08-25,1
E,2014-08-26,4
E,2014-08-27,8
E,2014-08-28,10
E,2014-08-29,9
E,2014-08-30,12
E,2014-08-31,5
E,2014-09-01,11
E,2014-09-02,4
E,2014-09-03,9
E,2014-09-04,3
E,2014-09-05,5
E,2014-09-06,1
E,2014-09-07,1
E,2014-09-08,3
E,2014-09-09,14
E,2014-09-10,5
E,2014-09-11,16
E,2014-09-12,14
E,2014-09-13,3
E,2014-09-14,7
E,2014-09-15,7
E,2014-09-16,10
E,2014-09-17,17
E,2014-09-18,5
E,2014-09-19,8
E,2014-09-20,5
E,2014-09-21,11
E,2014-09-22,5
E,2014-09-23,14
E,2014-09-24,9
E,2014-09-25,6
E,2014-09-26,8
E,2014-09-27,10
